Sample name,Tool,Delta,fr_ba1,fr_ba2,fr_other,co_delta,co_ba1,co_ba2,ls_delta,ls_ba1,ls_ba2
sample50,lineagespot,0.1363636364,,,,,,,,,
sample51,lineagespot,0.5909090909,,,,,,,,,
sample52,lineagespot,0.09090909091,,,,,,,,,
sample53,lineagespot,0.1363636364,,,,,,,,,
sample54,lineagespot,0.5,,,,,,,,,
sample55,lineagespot,0.5,,,,,,,,,
sample56,lineagespot,0.1363636364,,,,,,,,,
sample57,lineagespot,0.5,,,,,,,,,
sample58,lineagespot,0.5909090909,,,,,,,,,
sample59,lineagespot,0.09090909091,,,,,,,,,
sample60,lineagespot,0.09090909091,,,,,,,,,
sample61,lineagespot,0.4545454545,,,,,,,,,
sample62,lineagespot,0.1818181818,,,,,,,,,
sample63,lineagespot,0.09090909091,,,,,,,,,
sample64,lineagespot,0.5454545455,,,,,,,,,
sample65,lineagespot,0.1363636364,,,,,,,,,
sample66,lineagespot,,,,,,,,,,
sample67,lineagespot,0.1363636364,,,,,,,,,
sample68,lineagespot,,,,,,,,,,
sample69,lineagespot,0.1363636364,,,,,,,,,
sample70,lineagespot,0.1363636364,,,,,,,,,
sample71,lineagespot,,,,,,,,,,
sample72,lineagespot,0.5909090909,,,,,,,,,
sample73,lineagespot,0.3181818182,,,,,,,,,
sample74,lineagespot,0.04545454545,,,,,,,,,
sample75,lineagespot,,,,,,,,,,
sample76,lineagespot,0.09090909091,,,,,,,,,
sample77,lineagespot,0.04545454545,,,,,,,,,
sample78,lineagespot,0.3636363636,,,,,,,,,
sample79,lineagespot,0.1363636364,,,,,,,,,
sample80,lineagespot,0.09090909091,,,,,,,,,
sample81,lineagespot,0.2727272727,,,,,,,,,
sample82,lineagespot,0.1363636364,,,,,,,,,
sample83,lineagespot,0.1363636364,,,,,,,,,
sample84,lineagespot,0.09090909091,,,,,,,,,
sample85,lineagespot,0.09090909091,,,,,,,,,
sample86,lineagespot,0.1363636364,,,,,,,,,
sample87,lineagespot,0.09090909091,,,,,,,,,
