Sample name	summarized	lineages	abundances	resid	coverage
sample21 	[('Delta', 0.8446519996913595), ('Other', 0.14917500007225662), ('Omicron', 0.006173000007392982)]	AY.6 B AY.9.2 AY.4.9 AY.43 AY.4 AY.4.2 AY.28 AY.129 AY.25 AY.75 AY.4.10 AY.25.1 AY.113 BA.1.18	0.15859800 0.14917500 0.14481000 0.13122800 0.07466500 0.06673000 0.06477700 0.05419600 0.04814100 0.04392800 0.02959200 0.01407100 0.00720200 0.00671400 0.00617300	7.052915769	99.95971667
sample22 	[('Omicron', 0.9232749999660929), ('Other', 0.07672500000793665)]	BA.1.10 BA.1.19 BA.1.15 BA.1.18 BA.1.1.13 B BA.1.3 BA.1.16 BA.1.9 BA.1.15.1 B.1.78	0.30249900 0.11653500 0.11026900 0.10725200 0.09359600 0.07275000 0.06336400 0.05497500 0.05023700 0.02454800 0.00397500	1.781255563	99.95971667
sample23 	[('Omicron', 0.9117650000208832), ('Other', 0.0882350000332898)]	BA.1.1 BA.1.18 BA.1.15 BA.1.16 BA.1.19 B BA.1.3 BA.1.1.1 B.1.78 BA.1	0.28156900 0.23333300 0.13559300 0.12758600 0.07894700 0.07142900 0.02576900 0.02509800 0.01680600 0.00387000	2.468279351	99.95971667
sample24 	[('Delta', 0.5419649999852258), ('Omicron', 0.37583400000061895), ('Other', 0.08220100000110128)]	AY.4 AY.9.2 AY.113 BA.1.10 BA.1.18 B BA.1.1.13 BA.1.9 AY.4.9 AY.28 BA.1.16 BA.1.19 AY.4.2 BA.1.15.1 AY.43 B.1.617.2 AY.25 BA.1 BA.1.3 B.1 BA.1.15 AY.4.10	0.14442700 0.11206900 0.11053400 0.07578300 0.07246400 0.07142900 0.05217400 0.04799300 0.03519000 0.03364200 0.03143300 0.03110000 0.03051400 0.02966800 0.02743000 0.02623200 0.01489200 0.01322600 0.01306500 0.01077200 0.00892800 0.00703500	8.164151262	99.95971667
sample25 	[('Omicron', 0.5321100000080217), ('Other', 0.27276799999927476), ('Delta', 0.19512199998031904)]	B BA.1.18 BA.1.15.1 AY.4 BA.1.19 AY.129 BA.1.1.13 BA.1.16 B.1.1.529 AY.113 B.1.617.2 B.1.1.161	0.26202100 0.24509800 0.07954500 0.07142900 0.06361200 0.06153800 0.05333300 0.04678400 0.04373800 0.04203300 0.02012200 0.01074700	10.53199513	99.95971667
sample26 	[('Delta', 0.48101299998529795), ('Omicron', 0.37288100000063407), ('Other', 0.14610600000976876)]	BA.1.10 AY.4 AY.113 AY.38 B B.1 BA.1.18 AY.9 BA.1.16 B.1.1.529	0.26449200 0.24489800 0.09552800 0.09220000 0.08333300 0.06277300 0.05263200 0.04838700 0.03070200 0.02505500	10.09304501	99.95971667
sample27 	[('Omicron', 0.6444439999081786), ('Delta', 0.29001300001999114), ('Other', 0.06553399999204629)]	AY.4 BA.1.9 BA.1.18 BA.1.10 BA.1.15 B BA.1.19 AY.9.2 BA.1.3 BA.1.16 BA.1.1.13 AY.28 B.1.1.529 AY.113 BA.1.15.1 AY.4.9 AY.4.2 AY.43 B.1.617.2 AY.25	0.13759800 0.12332100 0.09967100 0.09354000 0.08266800 0.06553400 0.05874300 0.05748400 0.05268200 0.05236800 0.04708100 0.02093800 0.01966400 0.01870500 0.01470600 0.01435800 0.01135300 0.01045700 0.00999400 0.00912600	7.255180461	99.95971667
sample28 	[('Delta', 0.9260269999918449), ('Other', 0.07397299999992313)]	AY.6 AY.4 AY.9.2 AY.43 B AY.28 AY.38 B.1.617.2	0.33074200 0.22973000 0.12500000 0.10619500 0.07397300 0.06250000 0.05184800 0.02001200	4.083621679	99.95971667
sample29 	[('Delta', 0.8626009999577138), ('Other', 0.07054800000060965), ('Omicron', 0.06685099998906485)]	AY.9.2 AY.6 AY.4 AY.4.9 AY.28 B AY.43 AY.113 AY.4.2 B.1.617.2 AY.4.10 BA.1.9 AY.25.1 BA.1.18 BA.1.19 BA.1.16 AY.25 AY.46 B.1.1.529 BA.1.1 BA.1.15	0.15550200 0.15161600 0.13658900 0.08973800 0.07762600 0.07054800 0.06354500 0.05752700 0.03641900 0.03594800 0.02269800 0.02116100 0.02019600 0.01165300 0.01067600 0.00831000 0.00798700 0.00721000 0.00599300 0.00456900 0.00448900	5.568801984	99.95971667
sample30 	[('Delta', 0.8127919998793285), ('Other', 0.18720799999800833)]	AY.4.9 B AY.43 AY.9.2 AY.28 AY.25 AY.129 AY.38 AY.6	0.26470600 0.18720800 0.14634100 0.09574500 0.08955200 0.08928600 0.06617600 0.04019300 0.02079300	7.429048618	99.95971667
sample31 	[('Omicron', 0.6289130000001241), ('Other', 0.27281699999785225), ('Delta', 0.08708099999957696), ('BA.2* [Omicron (BA.2.X)]', 0.011189000002144834)]	BA.1.18 B BA.1.15.1 BA.1.19 BA.1.1.13 BA.2.3.16 BA.1.16 AY.4 B.1.1.529 BA.1.3 AY.75 AY.9.2 BA.2.5 AY.4.9 B.1.1.161 AY.4.2	0.27786700 0.20937000 0.10174400 0.07810200 0.07104100 0.05632700 0.04995100 0.03900700 0.02536300 0.02484500 0.02118200 0.01279200 0.01118900 0.00875900 0.00712000 0.00534100	7.985795406	99.95971667
sample32 	[('Delta', 0.6887590000034621), ('Omicron', 0.2236729999355449), ('Other', 0.08756799997945348)]	AY.4 B AY.38 AY.9.2 BA.1.1 BA.1.15 AY.28 AY.4.2 AY.4.9 AY.9 AY.43 AY.4.10 BA.1.3 B.1.1.529 BA.1.18 BA.1.15.1 AY.25.1 AY.46 AY.25 BA.1.1.10 BA.1.1.13 BA.1.16 BA.1.19	0.28172700 0.08756800 0.06996400 0.06462900 0.05471200 0.05450500 0.04733700 0.04611600 0.04223200 0.03398600 0.03233900 0.03150000 0.02621700 0.02521300 0.02000000 0.01968900 0.01441200 0.01388900 0.01062800 0.00902000 0.00827800 0.00334100 0.00269800	6.330107429	99.95971667
